# Obtained using Overpass Turbo at http://overpass-turbo.eu/ with the
# following query on 2021-03-14:
#  [out:csv(::lat,::lon,place,name)];
#  area["name:en"="Finland"];
#  node(area)[place~"^(city|town)$"];
#  out;
@lat	@lon	place	name
61.4865542	21.7968951	city	Pori
61.3121553	22.1336155	town	Harjavalta
61.3601139	21.6267263	town	Luvia
60.4517531	22.2670522	city	Turku
60.3953913	25.6604862	town	Porvoo
60.4061996	22.3685677	town	Kaarina
60.2147412	24.7135291	town	Kauniainen
60.2241869	24.6603626	city	Espoo
62.7100207	21.6163442	town	Pörtom
61.9895047	26.6440817	town	Kangasniemi
61.3208905	22.7780861	town	Kiikka
63.1304959	22.2506990	town	Vörå
61.8027147	22.3965338	town	Kankaanpää
62.1373063	22.5603265	town	Karvia
65.0118734	25.4716809	city	Oulu
60.8454623	26.6029463	town	Koria
60.2693626	24.4426969	town	Veikkola
67.8075595	24.8055734	town	Sirkka
62.3004660	27.1639512	town	Pieksämäki
62.2837287	27.0507496	town	Naarajärvi
60.1227857	24.4406694	town	Kirkkonummi
60.3091871	25.0364526	city	Vantaa
61.4980214	23.7603118	city	Tampere
62.8924601	27.6781839	city	Kuopio
60.9838761	25.6561814	city	Lahti
60.6335719	24.8695328	town	Hyvinkää
61.1922858	28.7780233	town	Imatra
63.6666709	22.7000229	town	Jakobstad
60.4743601	25.0925118	town	Järvenpää
62.6006257	29.7584591	city	Joensuu
64.2240872	27.7334227	city	Kajaani
65.7333404	24.5666495	town	Kemi
60.4034398	25.1041013	town	Kerava
63.8391421	23.1336845	city	Kokkola
60.4674228	26.9450844	city	Kotka
60.8701996	26.7018042	city	Kouvola
61.0583713	28.1862742	city	Lappeenranta
61.4766407	23.5052872	town	Nokia
60.4881380	22.1635993	town	Raisio
61.1289148	21.5039401	town	Rauma
60.7390089	24.7728148	town	Riihimäki
62.7954104	22.8442015	city	Seinäjoki
62.3176377	27.8681227	town	Varkaus
60.9948584	24.4665400	city	Hämeenlinna
66.4976214	25.7192101	city	Rovaniemi
62.6032186	25.7301361	town	Äänekoski
62.5499772	24.0702272	town	Ähtäri
63.2432345	22.8533944	town	Alahärmä
60.6861934	26.8124995	town	Anjala
60.6499508	22.5865661	town	Aura
59.9744647	23.4357477	town	Ekenäs
61.1304007	22.1302126	town	Eura
60.8155736	23.6298330	town	Forssa
63.7514785	25.3134586	town	Haapajärvi
64.1378737	25.3658176	town	Haapavesi
60.3965428	23.0784257	town	Halikko
61.6333330	23.2000000	town	Hämeenkyrö
60.5688901	27.1881877	town	Hamina
65.1763737	25.3532265	town	Haukipudas
64.0628458	23.6530833	town	Himanka
61.1833622	22.7003288	town	Huittinen
60.9333330	23.3666670	town	Humppila
64.6747218	28.4922537	town	Hyrynsalmi
63.5567679	27.1892281	town	Iisalmi
61.7701493	23.0633777	town	Ikaalinen
62.7313420	22.5797719	town	Ilmajoki
62.6730588	30.9322642	town	Ilomantsi
60.0466389	24.0054417	town	Ingå
60.6997060	26.8520664	town	Inkeroinen
63.0000000	22.3166670	town	Isokyrö
68.6588185	27.5348114	town	Ivalo
62.5000001	22.7499928	town	Jalasjärvi
61.8639814	25.1845044	town	Jämsä
61.9191417	25.1793075	town	Jämsänkoski
60.5514226	24.9678903	town	Jokela
60.8033158	23.4868447	town	Jokioinen
61.7427363	26.1117278	town	Joutsa
61.1184344	28.5016196	town	Joutseno
63.0666670	28.3500000	town	Juankoski
62.6833379	21.9833208	town	Jurva
63.2412699	29.2537501	town	Juuka
62.9757575	28.4801127	town	Kaavi
63.8618024	23.4558353	town	Kälviä
61.0923297	24.1363201	town	Iittala
61.4649006	24.0659379	town	Kangasala
63.9007773	23.9170363	town	Kannus
60.0732491	23.6632340	town	Karis
60.5343804	24.2145287	town	Karkkila
62.8778892	24.8007998	town	Karstula
62.3845858	21.2225761	town	Kaskinen
